// GitHub: https://github.com/0xnyxo
// Glitchable List for Legends Of Speed
// Discord: @0xnyxo (Aka Vyxon)
// ===============================

Jungle City -> YELLOW (EPIC: 12000, Rebirths: 159, Accurate, XP: 8000)
Jungle City -> YELLOW (ADVANCED: 1260000, Rebirths: 16799, Accurate, XP: 70000)
Jungle City -> YELLOW (ADVANCED: 1332000, Rebirths: 17759, Accurate, XP: 72000)
Jungle City -> YELLOW (ADVANCED: 1482000, Rebirths: 19759, Accurate, XP: 76000)
Jungle City -> YELLOW (ADVANCED: 1560000, Rebirths: 20799, Accurate, XP: 78000)
Jungle City -> YELLOW (ADVANCED: 1722000, Rebirths: 22959, Accurate, XP: 82000)
Jungle City -> YELLOW (ADVANCED: 1806000, Rebirths: 24079, Accurate, XP: 84000)
Jungle City -> YELLOW (ADVANCED: 1980000, Rebirths: 26399, Accurate, XP: 88000)
Jungle City -> YELLOW (ADVANCED: 2070000, Rebirths: 27599, Accurate, XP: 90000)
Jungle City -> YELLOW (ADVANCED: 2256000, Rebirths: 30079, Accurate, XP: 94000)
Jungle City -> YELLOW (ADVANCED: 2352000, Rebirths: 31359, Accurate, XP: 96000)
Jungle City -> YELLOW (BASIC: 3000, Rebirths: 39, Accurate, XP: 2000)
Jungle City -> YELLOW (BASIC: 6000, Rebirths: 79, Accurate, XP: 3000)
Jungle City -> YELLOW (BASIC: 15000, Rebirths: 199, Accurate, XP: 5000)
Jungle City -> YELLOW (BASIC: 21000, Rebirths: 279, Accurate, XP: 6000)
Jungle City -> YELLOW (BASIC: 36000, Rebirths: 479, Accurate, XP: 8000)
Jungle City -> YELLOW (BASIC: 45000, Rebirths: 599, Accurate, XP: 9000)
Jungle City -> YELLOW (BASIC: 66000, Rebirths: 879, Accurate, XP: 11000)
Jungle City -> YELLOW (BASIC: 78000, Rebirths: 1039, Accurate, XP: 12000)
Jungle City -> YELLOW (BASIC: 105000, Rebirths: 1399, Accurate, XP: 14000)
Jungle City -> YELLOW (BASIC: 120000, Rebirths: 1599, Accurate, XP: 15000)
Jungle City -> YELLOW (BASIC: 153000, Rebirths: 2039, Accurate, XP: 17000)
Jungle City -> YELLOW (BASIC: 171000, Rebirths: 2279, Accurate, XP: 18000)
Jungle City -> YELLOW (BASIC: 210000, Rebirths: 2799, Accurate, XP: 20000)
Jungle City -> YELLOW (BASIC: 231000, Rebirths: 3079, Accurate, XP: 21000)
Jungle City -> YELLOW (BASIC: 276000, Rebirths: 3679, Accurate, XP: 23000)
Jungle City -> YELLOW (BASIC: 300000, Rebirths: 3999, Accurate, XP: 24000)
Jungle City -> YELLOW (BASIC: 351000, Rebirths: 4679, Accurate, XP: 26000)
Jungle City -> YELLOW (BASIC: 378000, Rebirths: 5039, Accurate, XP: 27000)
Jungle City -> YELLOW (BASIC: 435000, Rebirths: 5799, Accurate, XP: 29000)
Jungle City -> YELLOW (BASIC: 465000, Rebirths: 6199, Accurate, XP: 30000)
Jungle City -> YELLOW (BASIC: 528000, Rebirths: 7039, Accurate, XP: 32000)
Jungle City -> YELLOW (BASIC: 561000, Rebirths: 7479, Accurate, XP: 33000)
Jungle City -> YELLOW (BASIC: 630000, Rebirths: 8399, Accurate, XP: 35000)
Jungle City -> YELLOW (BASIC: 666000, Rebirths: 8879, Accurate, XP: 36000)
Jungle City -> YELLOW (BASIC: 741000, Rebirths: 9879, Accurate, XP: 38000)
Jungle City -> YELLOW (BASIC: 780000, Rebirths: 10399, Accurate, XP: 39000)
Jungle City -> YELLOW (BASIC: 861000, Rebirths: 11479, Accurate, XP: 41000)
Jungle City -> YELLOW (BASIC: 903000, Rebirths: 12039, Accurate, XP: 42000)
Jungle City -> YELLOW (BASIC: 990000, Rebirths: 13199, Accurate, XP: 44000)
Jungle City -> YELLOW (BASIC: 1035000, Rebirths: 13799, Accurate, XP: 45000)
Jungle City -> YELLOW (BASIC: 1128000, Rebirths: 15039, Accurate, XP: 47000)
Jungle City -> YELLOW (BASIC: 1176000, Rebirths: 15679, Accurate, XP: 48000)
Jungle City -> YELLOW (OMEGA: 30000, Rebirths: 399, Accurate, XP: 20000)
Jungle City -> YELLOW (OMEGA: 60000, Rebirths: 799, Accurate, XP: 30000)
Jungle City -> YELLOW (OMEGA: 150000, Rebirths: 1999, Accurate, XP: 50000)
Jungle City -> YELLOW (OMEGA: 210000, Rebirths: 2799, Accurate, XP: 60000)
Jungle City -> YELLOW (OMEGA: 360000, Rebirths: 4799, Accurate, XP: 80000)
Jungle City -> YELLOW (OMEGA: 450000, Rebirths: 5999, Accurate, XP: 90000)
Jungle City -> YELLOW (OMEGA: 660000, Rebirths: 8799, Accurate, XP: 110000)
Jungle City -> YELLOW (OMEGA: 780000, Rebirths: 10399, Accurate, XP: 120000)
Jungle City -> YELLOW (OMEGA: 1050000, Rebirths: 13999, Accurate, XP: 140000)
Jungle City -> YELLOW (OMEGA: 1200000, Rebirths: 15999, Accurate, XP: 150000)
Jungle City -> YELLOW (OMEGA: 1530000, Rebirths: 20399, Accurate, XP: 170000)
Jungle City -> YELLOW (OMEGA: 1710000, Rebirths: 22799, Accurate, XP: 180000)
Jungle City -> YELLOW (OMEGA: 2100000, Rebirths: 27999, Accurate, XP: 200000)
Jungle City -> YELLOW (OMEGA: 2310000, Rebirths: 30799, Accurate, XP: 210000)
Jungle City -> YELLOW (OMEGA: 2760000, Rebirths: 36799, Accurate, XP: 230000)
Jungle City -> YELLOW (OMEGA: 3000000, Rebirths: 39999, Accurate, XP: 240000)
Jungle City -> YELLOW (OMEGA: 3510000, Rebirths: 46799, Accurate, XP: 260000)
Jungle City -> YELLOW (OMEGA: 3780000, Rebirths: 50399, Accurate, XP: 270000)
Jungle City -> YELLOW (OMEGA: 4350000, Rebirths: 57999, Accurate, XP: 290000)
Jungle City -> YELLOW (OMEGA: 4650000, Rebirths: 61999, Accurate, XP: 300000)
Jungle City -> YELLOW (OMEGA: 5280000, Rebirths: 70399, Accurate, XP: 320000)
Jungle City -> YELLOW (OMEGA: 5610000, Rebirths: 74799, Accurate, XP: 330000)
Jungle City -> YELLOW (OMEGA: 6300000, Rebirths: 83999, Accurate, XP: 350000)
Jungle City -> YELLOW (OMEGA: 6660000, Rebirths: 88799, Accurate, XP: 360000)
Jungle City -> YELLOW (OMEGA: 7410000, Rebirths: 98799, Accurate, XP: 380000)
Jungle City -> YELLOW (OMEGA: 7800000, Rebirths: 103999, Accurate, XP: 390000)
Jungle City -> YELLOW (OMEGA: 8610000, Rebirths: 114799, Accurate, XP: 410000)
Jungle City -> YELLOW (OMEGA: 9030000, Rebirths: 120399, Accurate, XP: 420000)
Jungle City -> YELLOW (OMEGA: 9900000, Rebirths: 131999, Accurate, XP: 440000)
Jungle City -> YELLOW (OMEGA: 10350000, Rebirths: 137999, Accurate, XP: 450000)
Jungle City -> YELLOW (OMEGA: 11280000, Rebirths: 150399, Accurate, XP: 470000)
Jungle City -> YELLOW (OMEGA: 11760000, Rebirths: 156799, Accurate, XP: 480000)
Jungle City -> YELLOW (UNIQUE: 15000, Rebirths: 199, Accurate, XP: 10000)
Jungle City -> YELLOW (UNIQUE: 30000, Rebirths: 399, Accurate, XP: 15000)
Jungle City -> YELLOW (UNIQUE: 75000, Rebirths: 999, Accurate, XP: 25000)
Jungle City -> YELLOW (UNIQUE: 105000, Rebirths: 1399, Accurate, XP: 30000)
Jungle City -> YELLOW (UNIQUE: 180000, Rebirths: 2399, Accurate, XP: 40000)
Jungle City -> YELLOW (UNIQUE: 225000, Rebirths: 2999, Accurate, XP: 45000)
Jungle City -> YELLOW (UNIQUE: 330000, Rebirths: 4399, Accurate, XP: 55000)
Jungle City -> YELLOW (UNIQUE: 390000, Rebirths: 5199, Accurate, XP: 60000)
Jungle City -> YELLOW (UNIQUE: 525000, Rebirths: 6999, Accurate, XP: 70000)
Jungle City -> YELLOW (UNIQUE: 600000, Rebirths: 7999, Accurate, XP: 75000)
Jungle City -> YELLOW (UNIQUE: 765000, Rebirths: 10199, Accurate, XP: 85000)
Jungle City -> YELLOW (UNIQUE: 855000, Rebirths: 11399, Accurate, XP: 90000)
Jungle City -> YELLOW (UNIQUE: 1050000, Rebirths: 13999, Accurate, XP: 100000)
Jungle City -> YELLOW (UNIQUE: 1155000, Rebirths: 15399, Accurate, XP: 105000)
Jungle City -> YELLOW (UNIQUE: 1380000, Rebirths: 18399, Accurate, XP: 115000)
Jungle City -> YELLOW (UNIQUE: 1500000, Rebirths: 19999, Accurate, XP: 120000)
Jungle City -> YELLOW (UNIQUE: 1755000, Rebirths: 23399, Accurate, XP: 130000)
Jungle City -> YELLOW (UNIQUE: 1890000, Rebirths: 25199, Accurate, XP: 135000)
Jungle City -> YELLOW (UNIQUE: 2175000, Rebirths: 28999, Accurate, XP: 145000)
Jungle City -> YELLOW (UNIQUE: 2325000, Rebirths: 30999, Accurate, XP: 150000)
Jungle City -> YELLOW (UNIQUE: 2640000, Rebirths: 35199, Accurate, XP: 160000)
Jungle City -> YELLOW (UNIQUE: 2805000, Rebirths: 37399, Accurate, XP: 165000)
Jungle City -> YELLOW (UNIQUE: 3150000, Rebirths: 41999, Accurate, XP: 175000)
Jungle City -> YELLOW (UNIQUE: 3330000, Rebirths: 44399, Accurate, XP: 180000)
Jungle City -> YELLOW (UNIQUE: 3705000, Rebirths: 49399, Accurate, XP: 190000)
Jungle City -> YELLOW (UNIQUE: 3900000, Rebirths: 51999, Accurate, XP: 195000)
Jungle City -> YELLOW (UNIQUE: 4305000, Rebirths: 57399, Accurate, XP: 205000)
Jungle City -> YELLOW (UNIQUE: 4515000, Rebirths: 60199, Accurate, XP: 210000)
Jungle City -> YELLOW (UNIQUE: 4950000, Rebirths: 65999, Accurate, XP: 220000)
Jungle City -> YELLOW (UNIQUE: 5175000, Rebirths: 68999, Accurate, XP: 225000)
Jungle City -> YELLOW (UNIQUE: 5640000, Rebirths: 75199, Accurate, XP: 235000)
Jungle City -> YELLOW (UNIQUE: 5880000, Rebirths: 78399, Accurate, XP: 240000)
