// GitHub: https://github.com/0xnyxo
// Glitchable List for Legends Of Speed
// Discord: @0xnyxo (Aka Vyxon)
// ===============================

Snow City -> BLUE (OMEGA: 30000, Rebirths: 1999, Accurate, XP: 20000)
Standard -> YELLOW (OMEGA: 11280000, Rebirths: 375999, Accurate, XP: 470000)
Standard -> YELLOW (OMEGA: 11760000, Rebirths: 391999, Accurate, XP: 480000)
Standard -> YELLOW (UNIQUE: 15000, Rebirths: 499, Accurate, XP: 10000)
Standard -> YELLOW (UNIQUE: 30000, Rebirths: 999, Accurate, XP: 15000)
Standard -> YELLOW (UNIQUE: 75000, Rebirths: 2499, Accurate, XP: 25000)
Standard -> YELLOW (UNIQUE: 105000, Rebirths: 3499, Accurate, XP: 30000)
Standard -> RED (UNIQUE: 180000, Rebirths: 3999, Accurate, XP: 40000)
Snow City -> RED (UNIQUE: 225000, Rebirths: 2999, Accurate, XP: 45000)
Snow City -> YELLOW (UNIQUE: 330000, Rebirths: 5499, Accurate, XP: 55000)
Standard -> YELLOW (UNIQUE: 390000, Rebirths: 12999, Accurate, XP: 60000)
Standard -> YELLOW (UNIQUE: 525000, Rebirths: 17499, Accurate, XP: 70000)
Standard -> YELLOW (UNIQUE: 600000, Rebirths: 19999, Accurate, XP: 75000)
Standard -> RED (UNIQUE: 765000, Rebirths: 16999, Accurate, XP: 85000)
Magma City -> RED (UNIQUE: 855000, Rebirths: 7125, Accurate, XP: 90000)
Standard -> YELLOW (UNIQUE: 1050000, Rebirths: 34999, Accurate, XP: 100000)
Magma City -> RED (UNIQUE: 1155000, Rebirths: 9625, Accurate, XP: 105000)
Standard -> YELLOW (UNIQUE: 1380000, Rebirths: 45999, Accurate, XP: 115000)
Snow City -> RED (UNIQUE: 1500000, Rebirths: 19999, Accurate, XP: 120000)
Standard -> RED (UNIQUE: 1755000, Rebirths: 38999, Accurate, XP: 130000)
Standard -> RED (UNIQUE: 1890000, Rebirths: 41999, Accurate, XP: 135000)
Standard -> ORANGE (UNIQUE: 2175000, Rebirths: 144999, Accurate, XP: 145000)
Magma City -> RED (UNIQUE: 2325000, Rebirths: 19375, Accurate, XP: 150000)
Standard -> YELLOW (UNIQUE: 2640000, Rebirths: 87999, Accurate, XP: 160000)
Magma City -> ORANGE (UNIQUE: 2805000, Rebirths: 46749, Accurate, XP: 165000)
Snow City -> ORANGE (UNIQUE: 3150000, Rebirths: 69999, Accurate, XP: 175000)
Standard -> RED (UNIQUE: 3330000, Rebirths: 73999, Accurate, XP: 180000)
Standard -> ORANGE (UNIQUE: 3705000, Rebirths: 246999, Accurate, XP: 190000)
Standard -> YELLOW (UNIQUE: 3900000, Rebirths: 129999, Accurate, XP: 195000)
Standard -> YELLOW (UNIQUE: 4305000, Rebirths: 143499, Accurate, XP: 205000)
Standard -> YELLOW (UNIQUE: 4515000, Rebirths: 150499, Accurate, XP: 210000)
Standard -> RED (UNIQUE: 4950000, Rebirths: 109999, Accurate, XP: 220000)
Standard -> RED (UNIQUE: 5175000, Rebirths: 114999, Accurate, XP: 225000)
Standard -> ORANGE (UNIQUE: 5640000, Rebirths: 375999, Accurate, XP: 235000)
Magma City -> RED (UNIQUE: 5880000, Rebirths: 48999, Accurate, XP: 240000)
Standard -> YELLOW (EPIC: 12000, Rebirths: 399, Accurate, XP: 8000)
Standard -> YELLOW (EPIC: 24000, Rebirths: 799, Accurate, XP: 12000)
Standard -> YELLOW (EPIC: 60000, Rebirths: 1999, Accurate, XP: 20000)
Standard -> YELLOW (EPIC: 84000, Rebirths: 2799, Accurate, XP: 24000)
Snow City -> ORANGE (EPIC: 144000, Rebirths: 3199, Accurate, XP: 32000)
Standard -> RED (EPIC: 180000, Rebirths: 3999, Accurate, XP: 36000)
Standard -> YELLOW (EPIC: 264000, Rebirths: 8799, Accurate, XP: 44000)
Standard -> YELLOW (EPIC: 312000, Rebirths: 10399, Accurate, XP: 48000)
Standard -> YELLOW (EPIC: 420000, Rebirths: 13999, Accurate, XP: 56000)
Standard -> YELLOW (EPIC: 480000, Rebirths: 15999, Accurate, XP: 60000)
Standard -> RED (EPIC: 612000, Rebirths: 13599, Accurate, XP: 68000)
Magma City -> RED (EPIC: 684000, Rebirths: 5699, Accurate, XP: 72000)
Snow City -> RED (EPIC: 840000, Rebirths: 11199, Accurate, XP: 80000)
Standard -> YELLOW (EPIC: 924000, Rebirths: 30799, Accurate, XP: 84000)
Magma City -> RED (EPIC: 1104000, Rebirths: 9199, Accurate, XP: 92000)
Magma City -> RED (EPIC: 1200000, Rebirths: 9999, Accurate, XP: 96000)
Standard -> RED (EPIC: 1404000, Rebirths: 31199, Accurate, XP: 104000)
Standard -> RED (EPIC: 1512000, Rebirths: 33599, Accurate, XP: 108000)
Standard -> YELLOW (EPIC: 1740000, Rebirths: 57999, Accurate, XP: 116000)
Standard -> YELLOW (EPIC: 1860000, Rebirths: 61999, Accurate, XP: 120000)
Snow City -> BLUE (EPIC: 2112000, Rebirths: 140799, Accurate, XP: 128000)
Standard -> YELLOW (EPIC: 2244000, Rebirths: 74799, Accurate, XP: 132000)
Standard -> YELLOW (EPIC: 2520000, Rebirths: 83999, Accurate, XP: 140000)
Standard -> RED (EPIC: 2664000, Rebirths: 59199, Accurate, XP: 144000)
Snow City -> BLUE (EPIC: 2964000, Rebirths: 197599, Accurate, XP: 152000)
Standard -> YELLOW (EPIC: 3120000, Rebirths: 103999, Accurate, XP: 156000)
Standard -> YELLOW (EPIC: 3444000, Rebirths: 114799, Accurate, XP: 164000)
Standard -> YELLOW (EPIC: 3612000, Rebirths: 120399, Accurate, XP: 168000)
Standard -> YELLOW (EPIC: 3960000, Rebirths: 131999, Accurate, XP: 176000)
Standard -> RED (EPIC: 4140000, Rebirths: 91999, Accurate, XP: 180000)
Standard -> YELLOW (EPIC: 4512000, Rebirths: 150399, Accurate, XP: 188000)
Standard -> YELLOW (EPIC: 4704000, Rebirths: 156799, Accurate, XP: 192000)
Standard -> YELLOW (RARE: 3000, Rebirths: 99, Accurate, XP: 3000)
Snow City -> RED (RARE: 9000, Rebirths: 119, Accurate, XP: 6000)
Standard -> RED (RARE: 18000, Rebirths: 399, Accurate, XP: 9000)
Standard -> YELLOW (RARE: 30000, Rebirths: 999, Accurate, XP: 12000)
Standard -> ORANGE (RARE: 45000, Rebirths: 2999, Accurate, XP: 15000)
Standard -> RED (RARE: 63000, Rebirths: 1399, Accurate, XP: 18000)
Snow City -> RED (RARE: 84000, Rebirths: 1119, Accurate, XP: 21000)
Standard -> RED (RARE: 108000, Rebirths: 2399, Accurate, XP: 24000)
Standard -> YELLOW (RARE: 135000, Rebirths: 4499, Accurate, XP: 27000)
Standard -> YELLOW (RARE: 165000, Rebirths: 5499, Accurate, XP: 30000)
Standard -> RED (RARE: 198000, Rebirths: 4399, Accurate, XP: 33000)
Magma City -> YELLOW (RARE: 234000, Rebirths: 2599, Accurate, XP: 36000)
Magma City -> RED (RARE: 273000, Rebirths: 2275, Accurate, XP: 39000)
Standard -> RED (RARE: 315000, Rebirths: 6999, Accurate, XP: 42000)
Standard -> RED (RARE: 360000, Rebirths: 7999, Accurate, XP: 45000)
Standard -> ORANGE (RARE: 408000, Rebirths: 27199, Accurate, XP: 48000)
Magma City -> RED (RARE: 459000, Rebirths: 3825, Accurate, XP: 51000)
Standard -> RED (RARE: 513000, Rebirths: 11399, Accurate, XP: 54000)
Standard -> YELLOW (RARE: 570000, Rebirths: 18999, Accurate, XP: 57000)
Standard -> RED (RARE: 630000, Rebirths: 13999, Accurate, XP: 60000)
Standard -> YELLOW (RARE: 693000, Rebirths: 23099, Accurate, XP: 63000)
Snow City -> YELLOW (RARE: 759000, Rebirths: 12649, Accurate, XP: 66000)
Standard -> ORANGE (RARE: 828000, Rebirths: 55199, Accurate, XP: 69000)
Standard -> RED (RARE: 900000, Rebirths: 19999, Accurate, XP: 72000)
Standard -> YELLOW (RARE: 975000, Rebirths: 32499, Accurate, XP: 75000)
Standard -> RED (RARE: 1053000, Rebirths: 23399, Accurate, XP: 78000)
Snow City -> YELLOW (RARE: 1134000, Rebirths: 18899, Accurate, XP: 81000)
Standard -> YELLOW (RARE: 1218000, Rebirths: 40599, Accurate, XP: 84000)
Standard -> RED (RARE: 1305000, Rebirths: 28999, Accurate, XP: 87000)
Standard -> RED (RARE: 1395000, Rebirths: 30999, Accurate, XP: 90000)
Standard -> ORANGE (RARE: 1488000, Rebirths: 99199, Accurate, XP: 93000)
Magma City -> YELLOW (RARE: 1584000, Rebirths: 17599, Accurate, XP: 96000)
Standard -> RED (RARE: 1683000, Rebirths: 37399, Accurate, XP: 99000)
Standard -> YELLOW (RARE: 1785000, Rebirths: 59499, Accurate, XP: 102000)
Standard -> RED (RARE: 1890000, Rebirths: 41999, Accurate, XP: 105000)
Snow City -> ORANGE (RARE: 1998000, Rebirths: 44399, Accurate, XP: 108000)
Standard -> YELLOW (RARE: 2109000, Rebirths: 70299, Accurate, XP: 111000)
Standard -> RED (RARE: 2223000, Rebirths: 49399, Accurate, XP: 114000)
Standard -> RED (RARE: 2340000, Rebirths: 51999, Accurate, XP: 117000)
Standard -> YELLOW (RARE: 2460000, Rebirths: 81999, Accurate, XP: 120000)
Standard -> RED (RARE: 2583000, Rebirths: 57399, Accurate, XP: 123000)
Magma City -> YELLOW (RARE: 2709000, Rebirths: 30099, Accurate, XP: 126000)
Standard -> YELLOW (RARE: 2838000, Rebirths: 94599, Accurate, XP: 129000)
Standard -> RED (RARE: 2970000, Rebirths: 65999, Accurate, XP: 132000)
Standard -> RED (RARE: 3105000, Rebirths: 68999, Accurate, XP: 135000)
Magma City -> RED (RARE: 3243000, Rebirths: 27025, Accurate, XP: 138000)
Standard -> YELLOW (RARE: 3384000, Rebirths: 112799, Accurate, XP: 141000)
Standard -> ORANGE (RARE: 3528000, Rebirths: 235199, Accurate, XP: 144000)
Standard -> YELLOW (RARE: 3675000, Rebirths: 122499, Accurate, XP: 147000)
Standard -> YELLOW (ADVANCED: 6000, Rebirths: 199, Accurate, XP: 4000)
Standard -> ORANGE (ADVANCED: 12000, Rebirths: 799, Accurate, XP: 6000)
Standard -> YELLOW (ADVANCED: 30000, Rebirths: 999, Accurate, XP: 10000)
Standard -> YELLOW (ADVANCED: 42000, Rebirths: 1399, Accurate, XP: 12000)
Snow City -> RED (ADVANCED: 72000, Rebirths: 959, Accurate, XP: 16000)
Standard -> RED (ADVANCED: 90000, Rebirths: 1999, Accurate, XP: 18000)
Standard -> ORANGE (ADVANCED: 132000, Rebirths: 8799, Accurate, XP: 22000)
Standard -> YELLOW (ADVANCED: 156000, Rebirths: 5199, Accurate, XP: 24000)
Snow City -> BLUE (ADVANCED: 210000, Rebirths: 13999, Accurate, XP: 28000)
Standard -> YELLOW (ADVANCED: 240000, Rebirths: 7999, Accurate, XP: 30000)
Standard -> ORANGE (ADVANCED: 306000, Rebirths: 20399, Accurate, XP: 34000)
Standard -> RED (ADVANCED: 342000, Rebirths: 7599, Accurate, XP: 36000)
Snow City -> RED (ADVANCED: 420000, Rebirths: 5599, Accurate, XP: 40000)
Standard -> YELLOW (ADVANCED: 462000, Rebirths: 15399, Accurate, XP: 42000)
Magma City -> ORANGE (ADVANCED: 552000, Rebirths: 9199, Accurate, XP: 46000)
Standard -> YELLOW (ADVANCED: 600000, Rebirths: 19999, Accurate, XP: 48000)
Standard -> RED (ADVANCED: 702000, Rebirths: 15599, Accurate, XP: 52000)
Magma City -> RED (ADVANCED: 756000, Rebirths: 6299, Accurate, XP: 54000)
Standard -> YELLOW (ADVANCED: 870000, Rebirths: 28999, Accurate, XP: 58000)
Standard -> YELLOW (ADVANCED: 930000, Rebirths: 30999, Accurate, XP: 60000)
Snow City -> YELLOW (ADVANCED: 1056000, Rebirths: 17599, Accurate, XP: 64000)
Standard -> YELLOW (ADVANCED: 1122000, Rebirths: 37399, Accurate, XP: 66000)
Standard -> RED (ADVANCED: 1260000, Rebirths: 27999, Accurate, XP: 70000)
Magma City -> RED (ADVANCED: 1332000, Rebirths: 11099, Accurate, XP: 72000)
Standard -> YELLOW (ADVANCED: 1482000, Rebirths: 49399, Accurate, XP: 76000)
Magma City -> RED (ADVANCED: 1560000, Rebirths: 12999, Accurate, XP: 78000)
Standard -> YELLOW (ADVANCED: 1722000, Rebirths: 57399, Accurate, XP: 82000)
Standard -> YELLOW (ADVANCED: 1806000, Rebirths: 60199, Accurate, XP: 84000)
Standard -> RED (ADVANCED: 1980000, Rebirths: 43999, Accurate, XP: 88000)
Standard -> RED (ADVANCED: 2070000, Rebirths: 45999, Accurate, XP: 90000)
Standard -> YELLOW (ADVANCED: 2256000, Rebirths: 75199, Accurate, XP: 94000)
Standard -> YELLOW (ADVANCED: 2352000, Rebirths: 78399, Accurate, XP: 96000)
Standard -> YELLOW (BASIC: 3000, Rebirths: 99, Accurate, XP: 2000)
Standard -> YELLOW (BASIC: 6000, Rebirths: 199, Accurate, XP: 3000)
Magma City -> ORANGE (BASIC: 15000, Rebirths: 249, Accurate, XP: 5000)
Snow City -> YELLOW (BASIC: 21000, Rebirths: 349, Accurate, XP: 6000)
Standard -> RED (BASIC: 36000, Rebirths: 799, Accurate, XP: 8000)
Standard -> ORANGE (BASIC: 45000, Rebirths: 2999, Accurate, XP: 9000)
Standard -> YELLOW (BASIC: 66000, Rebirths: 2199, Accurate, XP: 11000)
Standard -> YELLOW (BASIC: 78000, Rebirths: 2599, Accurate, XP: 12000)
Standard -> YELLOW (BASIC: 105000, Rebirths: 3499, Accurate, XP: 14000)
Standard -> YELLOW (BASIC: 120000, Rebirths: 3999, Accurate, XP: 15000)
Snow City -> RED (BASIC: 153000, Rebirths: 2039, Accurate, XP: 17000)
Standard -> RED (BASIC: 171000, Rebirths: 3799, Accurate, XP: 18000)
Standard -> YELLOW (BASIC: 210000, Rebirths: 6999, Accurate, XP: 20000)
Standard -> YELLOW (BASIC: 231000, Rebirths: 7699, Accurate, XP: 21000)
Standard -> YELLOW (BASIC: 276000, Rebirths: 9199, Accurate, XP: 23000)
Standard -> YELLOW (BASIC: 300000, Rebirths: 9999, Accurate, XP: 24000)
Standard -> RED (BASIC: 351000, Rebirths: 7799, Accurate, XP: 26000)
Standard -> RED (BASIC: 378000, Rebirths: 8399, Accurate, XP: 27000)
Standard -> YELLOW (BASIC: 435000, Rebirths: 14499, Accurate, XP: 29000)
Standard -> YELLOW (BASIC: 465000, Rebirths: 15499, Accurate, XP: 30000)
Standard -> YELLOW (BASIC: 528000, Rebirths: 17599, Accurate, XP: 32000)
Standard -> YELLOW (BASIC: 561000, Rebirths: 18699, Accurate, XP: 33000)
Magma City -> RED (BASIC: 630000, Rebirths: 5249, Accurate, XP: 35000)
Magma City -> RED (BASIC: 666000, Rebirths: 5549, Accurate, XP: 36000)
Standard -> ORANGE (BASIC: 741000, Rebirths: 49399, Accurate, XP: 38000)
Magma City -> RED (BASIC: 780000, Rebirths: 6499, Accurate, XP: 39000)
Standard -> ORANGE (BASIC: 861000, Rebirths: 57399, Accurate, XP: 41000)
Standard -> YELLOW (BASIC: 903000, Rebirths: 30099, Accurate, XP: 42000)
Standard -> RED (BASIC: 990000, Rebirths: 21999, Accurate, XP: 44000)
Snow City -> ORANGE (BASIC: 1035000, Rebirths: 22999, Accurate, XP: 45000)
Standard -> YELLOW (BASIC: 1128000, Rebirths: 37599, Accurate, XP: 47000)
Standard -> YELLOW (BASIC: 1176000, Rebirths: 39199, Accurate, XP: 48000)
